EIN	GRSCONTRGIFTS	INTRSTRVNUE	DIVIDNDSAMT	GRSRENTS	GRSSLSPRAMT	GRSPROFITBUS	OTHERINCAMT	DIST_DELTA
10024907	50113	523	14540	0	0	0	350	0
10131950	43773	2594	100385	88933	3186300	0	0	212523
10211504	0	0	43442	0	1010544	0	0	-10822
10211537	55671	0	57016	0	56084	0	205	-13591
10211545	60000	40	6859	0	26370	0	-575	66250
10211547	0	51	45742	0	692780	0	820931	0
10211792	0	259	18331	0	0	0	0	135
10212437	0	0	138016	328865	0	0	0	-347141
10213987	89274	2991	122083	0	4024013	0	1223554	2745
10214019	36307	4	15540	0	127262	0	4149	-35600
10215216	27879	3615	10203	0	0	0	0	-19242
10217212	11125	142	85019	0	172949	0	731294	0
10217325	2022	9	12628	0	146971	0	79524	0
10219135	7697	0	67749	0	583715	0	773757	-127415
10220139	0	0	25323	0	399119	0	64133	335830
10220389	0	6	3973	0	0	0	3145	0
10220759	0	9	68792	0	317635	0	0	137020
10222218	0	0	121108	0	2807303	0	0	38044
10226346	0	43	272410	6000	4851267	0	264873	264
10228468	11562	21	59279	0	326735	0	0	0
10238086	1658	11	98744	0	53506	0	141096	0
10247548	0	260	400402	0	0	0	0	558
10248064	4355	311	101878	0	241885	0	0	152752
10248064	1500	16282	79346	0	0	0	0	155200
10248533	0	0	38184	0	53371	0	72121	-32015
10265587	5520	6725	0	0	0	0	0	3977
10277592	328225	8618	0	0	1500	7148	56923	0
10277832	0	0	62290	0	1078048	0	0	32848
10282855	0	0	1189	0	41764	0	0	3450
10342663	0	0	19248	0	59436	0	0	-16553
10347096	0	0	0	0	0	0	0	0
10351827	0	0	50459	0	993289	0	-376	-33113
10352472	0	0	785	0	32994	0	-11	-102
10354717	2280	18	1548	0	0	0	0	-2755
10356704	3355	0	984	0	2575	0	1	5106
10357167	0	1	0	0	0	0	583804	0
10358145	91072	1	0	0	0	0	588676	0
10359164	130000	34	0	0	0	0	4604	0
10360056	675	94	0	0	0	0	0	0
10366975	0	0	6539	0	23356	0	0	-1394
10367057	0	0	904	0	9680	0	0	1535
10370961	3505	0	4749	0	251	0	0	-2910
10371179	0	0	4675	0	40182	0	0	252
10376639	0	396	1074	0	1223	0	0	601
10384771	3541	0	0	0	0	0	0	350
10384771	3760	0	0	0	0	0	0	228
10386335	1506	8	0	0	0	0	125	-161
10387329	0	16	185	0	2045	0	0	-187
10387404	0	26	3143171	0	73226790	0	2333	444498
10388680	17900	47	232784	0	5033048	0	32	93208
10390854	0	0	1124300	0	3604534	0	0	-547061
10391038	229726	2340	0	0	0	0	5779065	173457
10393932	0	237	0	0	0	0	0	46
10408925	13452	8992	24002	0	512948	0	239	0
10414466	15000	0	0	0	0	0	0	0
10421792	0	131	2427	0	5253	0	0	-442
10421806	4695255	3344	152244	0	10549066	0	4201	-844880
10421912	113647	6330	100049	0	3227873	0	0	257852
10434709	0	5	0	0	0	0	0	0
10435317	0	1	0	0	0	0	0	-699
10437556	0	10	0	0	1838936	0	0	785741
10440295	5377	0	0	16761	0	0	16805	0
10441043	1303	5621	9297	12662	467770	27316	15003	706437
10441158	0	27	25991	0	275038	0	0	5319
10442078	11297103	0	242625	0	11551594	0	0	40555
10446023	0	9664	0	0	0	0	0	90844
10451718	1100	0	1696	0	23504	0	0	-571
10452942	0	542	0	0	16221	0	0	-2865
10455799	0	26	0	0	0	0	0	-595
10456596	197	1	12054	0	0	0	0	-11686
10458230	0	0	2825	0	203	0	0	-4474
10463183	0	4913	35623	0	435624	0	-10114	127440
10467352	18828	0	0	0	0	0	0	-837
10467352	24505	0	0	0	0	0	0	-988
10467801	4250	0	0	0	0	0	0	-246
10468410	0	1	0	0	0	0	0	0
10469155	0	0	25667	0	340193	0	267	-319
10471533	48000	232	70626	0	0	0	3463665	74250
10472527	10000	0	0	0	0	0	0	5871
10477840	10236	10	24209	0	239028	0	0	56000
10482817	0	18	80118	0	313935	0	0	-36327
10483892	1245000	0	30043	0	106500	0	0	1167475
10485292	1740926	54	0	516529	0	0	0	187069
10485964	1171391	0	5501	0	5219193	0	0	1307862
10490113	0	56	3788	0	11239	4242	118137	45170
10493083	0	0	0	0	0	0	0	0
10493311	0	12162	675455	0	0	0	0	-737744
10493563	2641	0	2407	0	0	0	0	-3932
10494517	0	0	24655	0	0	0	0	19880
10494517	0	0	28160	0	15579	0	0	15500
10495814	75000	0	0	0	0	0	0	0
10496879	0	0	165834	0	2247059	0	0	-47748
10496979	3171	0	0	0	0	0	0	0
10496982	4357	0	0	0	0	3613	0	-571
10496982	3816	0	0	0	0	4117	0	-678
10497343	0	0	10549	0	403686	0	-152	-2883
